model_name,prompt_idx,map_name,total_runs,num_success,num_fail,avg_rounds_success
llama3.1:70b,3,map_5x5_145ae7f434,1,1,0,1.00
deepseek-r1:70b,1,map_9x9_f39c50f428,5,0,5,N/A
deepseek-r1:14b,1,map_9x9_f39c50f428,2,1,1,3.00
deepseek-r1:14b,8,map_5x5_145ae7f434,1,1,0,1.00
deepseek-r1,0,map_9x9_7e16f28f8b,1,1,0,2.00
deepseek-r1:32b,10,map_9x9_95478b4b20,2,1,1,1.00
llama3.3,0,map_5x5_985e892d1d,1,1,0,1.00
deepseek-r1:70b,11,map_9x9_f39c50f428,1,1,0,1.00
deepseek-r1:14b,5,map_9x9_95478b4b20,2,1,1,3.00
llama3.3,11,map_9x9_f39c50f428,2,1,1,1.00
deepseek-r1:14b,1,map_5x5_985e892d1d,2,1,1,1.00
deepseek-r1:32b,3,map_5x5_985e892d1d,1,1,0,1.00
deepseek-r1:70b,10,map_3x3_d5cc755ee1,1,1,0,4.00
deepseek-r1:32b,4,map_9x9_f39c50f428,2,1,1,1.00
deepseek-r1:70b,9,map_9x9_95478b4b20,2,1,1,1.00
deepseek-r1:32b,0,map_9x9_95478b4b20,1,1,0,1.00
deepseek-r1:32b,10,map_3x3_4581d67942,1,1,0,1.00
deepseek-r1:14b,1,map_5x5_145ae7f434,1,1,0,2.00
deepseek-r1:8b,3,map_9x9_7e16f28f8b,1,1,0,1.00
deepseek-r1:32b,7,map_9x9_7e16f28f8b,1,1,0,1.00
deepseek-r1:70b,10,map_9x9_f39c50f428,1,1,0,74.00
deepseek-r1:70b,3,map_3x3_36a9049c34,2,1,1,1.00
deepseek-r1:32b,1,map_5x5_eb9bf2f286,1,1,0,1.00
llama3.1,0,map_9x9_f39c50f428,1,1,0,1.00
deepseek-r1:14b,4,map_9x9_f39c50f428,3,1,2,1.00
deepseek-r1:14b,7,map_9x9_f39c50f428,2,1,1,2.00
llama3.1:70b,0,map_5x5_985e892d1d,1,1,0,1.00
llama3.1:70b,6,map_9x9_95478b4b20,1,1,0,1.00
deepseek-r1:14b,1,map_5x5_eb9bf2f286,2,2,0,1.50
deepseek-r1,9,map_9x9_95478b4b20,1,1,0,1.00
deepseek-r1:32b,10,map_5x5_145ae7f434,1,1,0,1.00
deepseek-r1:14b,7,map_9x9_7e16f28f8b,1,1,0,5.00
deepseek-r1:32b,11,map_5x5_145ae7f434,1,1,0,1.00
deepseek-r1:8b,9,map_9x9_f39c50f428,2,1,1,1.00
deepseek-r1:70b,10,map_9x9_95478b4b20,1,1,0,3.00
deepseek-r1,10,map_9x9_7e16f28f8b,1,1,0,1.00
deepseek-r1,5,map_9x9_95478b4b20,2,1,1,2.00
llama3.3,5,map_9x9_f39c50f428,1,1,0,1.00
deepseek-r1:70b,7,map_5x5_eb9bf2f286,1,1,0,1.00
llama3.1:70b,1,map_5x5_145ae7f434,1,1,0,1.00
deepseek-r1:8b,0,map_9x9_95478b4b20,1,1,0,2.00
llama3.1:70b,5,map_9x9_95478b4b20,1,1,0,1.00
llama3.1,11,map_9x9_7e16f28f8b,1,1,0,1.00
deepseek-r1:8b,5,map_9x9_f39c50f428,3,1,2,1.00
llama3.3,9,map_9x9_7e16f28f8b,1,1,0,3.00
llama3.3,9,map_9x9_f39c50f428,1,1,0,1.00
deepseek-r1:14b,8,map_9x9_7e16f28f8b,1,1,0,1.00
deepseek-r1:70b,10,map_9x9_7e16f28f8b,1,1,0,1.00
deepseek-r1:8b,4,map_9x9_7e16f28f8b,1,1,0,1.00
deepseek-r1:70b,1,map_5x5_145ae7f434,1,1,0,1.00
deepseek-r1:70b,11,map_5x5_985e892d1d,2,1,1,1.00
deepseek-r1:32b,8,map_5x5_985e892d1d,1,1,0,1.00
deepseek-r1:14b,4,map_5x5_985e892d1d,1,1,0,2.00
llama3.1,4,map_9x9_95478b4b20,1,1,0,1.00
deepseek-r1:32b,6,map_9x9_7e16f28f8b,2,1,1,1.00
deepseek-r1:32b,10,map_3x3_d5cc755ee1,1,1,0,1.00
deepseek-r1:14b,5,map_5x5_985e892d1d,2,1,1,1.00
deepseek-r1:70b,9,map_5x5_145ae7f434,1,1,0,1.00
llama3.1:70b,5,map_5x5_985e892d1d,1,1,0,1.00
deepseek-r1:70b,5,map_3x3_36a9049c34,2,1,1,2.00
llama3.1:70b,4,map_5x5_145ae7f434,1,1,0,1.00
llama3.3,3,map_5x5_145ae7f434,1,1,0,1.00
deepseek-r1:70b,4,map_9x9_7e16f28f8b,2,1,1,3.00
deepseek-r1:14b,9,map_5x5_eb9bf2f286,2,1,1,3.00
deepseek-r1:32b,1,map_5x5_985e892d1d,1,1,0,1.00
deepseek-r1:14b,10,map_9x9_f39c50f428,6,1,5,1.00
llama3.3,6,map_5x5_145ae7f434,1,1,0,1.00
llama3.1,0,map_9x9_7e16f28f8b,1,1,0,1.00
deepseek-r1:32b,6,map_5x5_985e892d1d,1,1,0,6.00
llama3.1:70b,3,map_9x9_f39c50f428,1,1,0,1.00
deepseek-r1:14b,6,map_9x9_95478b4b20,2,1,1,2.00
deepseek-r1:14b,0,map_9x9_f39c50f428,2,2,0,1.00
deepseek-r1:70b,6,map_9x9_f39c50f428,1,1,0,3.00
deepseek-r1:32b,0,map_5x5_145ae7f434,2,1,1,1.00
deepseek-r1:32b,8,map_5x5_145ae7f434,1,1,0,1.00
deepseek-r1:32b,4,map_9x9_7e16f28f8b,1,1,0,2.00
llama3.1,10,map_9x9_f39c50f428,1,1,0,1.00
deepseek-r1:32b,0,map_9x9_f39c50f428,1,1,0,1.00
deepseek-r1:8b,3,map_9x9_f39c50f428,2,1,1,2.00
deepseek-r1:32b,2,map_9x9_f39c50f428,1,1,0,1.00
llama3.1:70b,8,map_9x9_95478b4b20,1,1,0,1.00
deepseek-r1:70b,6,map_9x9_7e16f28f8b,1,1,0,1.00
deepseek-r1:14b,11,map_5x5_145ae7f434,1,1,0,1.00
deepseek-r1:70b,2,map_9x9_7e16f28f8b,1,1,0,1.00
llama3.1:70b,8,map_5x5_985e892d1d,1,1,0,1.00
llama3.1,3,map_9x9_f39c50f428,1,1,0,1.00
deepseek-r1:14b,2,map_9x9_f39c50f428,2,2,0,1.00
deepseek-r1:8b,1,map_9x9_f39c50f428,1,1,0,2.00
llama3.3,9,map_5x5_eb9bf2f286,2,2,0,1.00
llama3.1:70b,2,map_5x5_145ae7f434,1,1,0,1.00
deepseek-r1:70b,5,map_3x3_d5cc755ee1,1,1,0,2.00
deepseek-r1:70b,8,map_3x3_36a9049c34,2,1,1,2.00
llama3.1:70b,2,map_9x9_f39c50f428,1,1,0,1.00
llama3.1:70b,10,map_9x9_f39c50f428,5,1,4,1.00
llama3.3,4,map_9x9_7e16f28f8b,1,1,0,1.00
llama3.3,0,map_9x9_7e16f28f8b,1,1,0,2.00
deepseek-r1:32b,10,map_9x9_7e16f28f8b,1,1,0,1.00
deepseek-r1:32b,8,map_9x9_f39c50f428,3,1,2,1.00
llama3.1:70b,4,map_5x5_eb9bf2f286,1,1,0,1.00
deepseek-r1:14b,2,map_5x5_145ae7f434,1,1,0,1.00
deepseek-r1:32b,5,map_9x9_f39c50f428,1,1,0,2.00
deepseek-r1:8b,5,map_9x9_95478b4b20,2,1,1,2.00
llama3.1:70b,8,map_5x5_145ae7f434,1,1,0,1.00
llama3.3,7,map_9x9_7e16f28f8b,1,1,0,1.00
llama3.1:70b,8,map_9x9_7e16f28f8b,1,1,0,1.00
deepseek-r1:70b,3,map_3x3_4581d67942,1,1,0,1.00
llama3.3,0,map_9x9_95478b4b20,1,1,0,1.00
deepseek-r1:14b,3,map_9x9_f39c50f428,2,1,1,1.00
deepseek-r1:14b,8,map_5x5_eb9bf2f286,2,1,1,7.00
deepseek-r1:14b,4,map_9x9_95478b4b20,2,1,1,1.00
llama3.3,1,map_9x9_7e16f28f8b,1,1,0,2.00
llama3.1:70b,7,map_9x9_f39c50f428,1,1,0,1.00
llama3.1:70b,5,map_9x9_f39c50f428,1,1,0,1.00
llama3.1:70b,11,map_9x9_f39c50f428,2,1,1,1.00
llama3.3,0,map_5x5_145ae7f434,1,1,0,1.00
deepseek-r1:8b,9,map_9x9_95478b4b20,1,1,0,2.00
deepseek-r1:32b,4,map_9x9_95478b4b20,2,1,1,2.00
deepseek-r1:32b,3,map_9x9_95478b4b20,4,1,3,1.00
llama3.3,2,map_9x9_95478b4b20,1,1,0,1.00
deepseek-r1:70b,8,map_3x3_4581d67942,1,1,0,3.00
deepseek-r1:70b,2,map_3x3_4581d67942,3,1,2,1.00
deepseek-r1:70b,11,map_5x5_145ae7f434,1,1,0,1.00
deepseek-r1,7,map_9x9_f39c50f428,1,1,0,1.00
llama3.3,8,map_5x5_985e892d1d,1,1,0,1.00
deepseek-r1,9,map_9x9_7e16f28f8b,1,1,0,1.00
llama3.1:70b,1,map_9x9_f39c50f428,2,1,1,2.00
deepseek-r1:70b,11,map_3x3_d5cc755ee1,1,1,0,3.00
deepseek-r1:14b,10,map_5x5_145ae7f434,1,1,0,1.00
llama3.1:70b,1,map_9x9_95478b4b20,1,1,0,1.00
deepseek-r1:70b,1,map_9x9_95478b4b20,2,1,1,2.00
deepseek-r1:32b,2,map_9x9_7e16f28f8b,1,1,0,1.00
deepseek-r1:14b,9,map_9x9_95478b4b20,2,1,1,5.00
deepseek-r1,2,map_9x9_7e16f28f8b,1,1,0,2.00
deepseek-r1:14b,6,map_5x5_145ae7f434,1,1,0,3.00
deepseek-r1:14b,7,map_5x5_145ae7f434,1,1,0,780.00
llama3.1:70b,4,map_9x9_95478b4b20,1,1,0,1.00
llama3.3,4,map_9x9_95478b4b20,1,1,0,1.00
llama3.1:70b,7,map_5x5_985e892d1d,1,1,0,1.00
deepseek-r1,11,map_9x9_7e16f28f8b,1,1,0,1.00
llama3.1,10,map_9x9_7e16f28f8b,1,1,0,1.00
llama3.1:70b,11,map_9x9_95478b4b20,1,1,0,1.00
llama3.3,10,map_9x9_f39c50f428,1,1,0,1.00
deepseek-r1:70b,0,map_9x9_f39c50f428,1,1,0,111.00
deepseek-r1:14b,10,map_9x9_7e16f28f8b,1,1,0,1.00
deepseek-r1:70b,7,map_5x5_145ae7f434,1,1,0,2.00
deepseek-r1:70b,0,map_9x9_95478b4b20,4,1,3,2.00
llama3.3,6,map_9x9_95478b4b20,1,1,0,1.00
deepseek-r1:32b,2,map_9x9_95478b4b20,1,1,0,1.00
deepseek-r1:8b,8,map_9x9_f39c50f428,1,1,0,2.00
deepseek-r1:8b,7,map_9x9_f39c50f428,1,1,0,2.00
deepseek-r1:8b,6,map_9x9_f39c50f428,2,1,1,3.00
deepseek-r1:14b,3,map_5x5_145ae7f434,2,1,1,1.00
deepseek-r1:8b,3,map_9x9_95478b4b20,1,1,0,2.00
deepseek-r1:14b,7,map_5x5_eb9bf2f286,2,1,1,3.00
llama3.3,11,map_5x5_145ae7f434,1,1,0,1.00
deepseek-r1:70b,0,map_9x9_7e16f28f8b,1,1,0,2.00
deepseek-r1,9,map_9x9_f39c50f428,1,1,0,2.00
llama3.1:70b,5,map_9x9_7e16f28f8b,2,1,1,1.00
deepseek-r1,11,map_9x9_95478b4b20,1,1,0,1.00
deepseek-r1:14b,9,map_9x9_f39c50f428,2,1,1,1.00
llama3.3,11,map_9x9_7e16f28f8b,1,1,0,1.00
deepseek-r1:70b,8,map_5x5_985e892d1d,1,1,0,2.00
deepseek-r1:14b,3,map_5x5_eb9bf2f286,2,2,0,1.00
llama3.1:70b,11,map_5x5_145ae7f434,1,1,0,1.00
llama3.1:70b,10,map_9x9_7e16f28f8b,2,1,1,1.00
llama3.1:70b,3,map_5x5_eb9bf2f286,1,1,0,1.00
llama3.3,3,map_5x5_eb9bf2f286,2,2,0,1.00
deepseek-r1:32b,3,map_9x9_7e16f28f8b,1,1,0,2.00
deepseek-r1:8b,9,map_9x9_7e16f28f8b,2,1,1,2.00
deepseek-r1:14b,6,map_9x9_f39c50f428,2,1,1,1.00
deepseek-r1,3,map_9x9_7e16f28f8b,1,1,0,1.00
deepseek-r1:14b,10,map_5x5_985e892d1d,2,2,0,1.50
llama3.1:70b,5,map_5x5_145ae7f434,1,1,0,1.00
llama3.1:70b,1,map_5x5_eb9bf2f286,1,1,0,2.00
llama3.1,6,map_9x9_f39c50f428,1,1,0,1.00
deepseek-r1:32b,3,map_5x5_eb9bf2f286,1,1,0,2.00
deepseek-r1,8,map_9x9_95478b4b20,1,1,0,1.00
deepseek-r1,5,map_9x9_7e16f28f8b,1,1,0,1.00
deepseek-r1:32b,11,map_5x5_985e892d1d,1,1,0,1.00
deepseek-r1:70b,11,map_5x5_eb9bf2f286,1,1,0,1.00
deepseek-r1:32b,1,map_9x9_f39c50f428,1,1,0,2.00
llama3.1,4,map_9x9_f39c50f428,1,1,0,1.00
deepseek-r1:70b,4,map_5x5_eb9bf2f286,1,1,0,3.00
llama3.1:70b,0,map_5x5_eb9bf2f286,1,1,0,1.00
llama3.1,6,map_9x9_7e16f28f8b,1,1,0,1.00
llama3.1:70b,9,map_5x5_eb9bf2f286,1,1,0,1.00
deepseek-r1:70b,3,map_5x5_145ae7f434,1,1,0,2.00
llama3.1,9,map_9x9_7e16f28f8b,1,1,0,1.00
llama3.3,1,map_5x5_eb9bf2f286,2,2,0,1.00
deepseek-r1:70b,8,map_9x9_7e16f28f8b,1,1,0,2.00
llama3.1:70b,0,map_9x9_f39c50f428,1,1,0,2.00
llama3.1:70b,6,map_5x5_985e892d1d,1,1,0,1.00
llama3.1:70b,8,map_9x9_f39c50f428,1,1,0,1.00
deepseek-r1:14b,0,map_9x9_95478b4b20,2,1,1,2.00
deepseek-r1:70b,7,map_9x9_7e16f28f8b,1,1,0,1.00
llama3.1:70b,10,map_9x9_95478b4b20,1,1,0,1.00
deepseek-r1:32b,0,map_5x5_985e892d1d,1,1,0,1.00
llama3.1,7,map_9x9_f39c50f428,1,1,0,1.00
deepseek-r1,7,map_9x9_95478b4b20,1,1,0,1.00
deepseek-r1:14b,11,map_5x5_985e892d1d,2,2,0,1.50
llama3.1:70b,10,map_5x5_eb9bf2f286,1,1,0,1.00
deepseek-r1,6,map_9x9_7e16f28f8b,1,1,0,1.00
deepseek-r1:70b,6,map_9x9_95478b4b20,1,1,0,2.00
deepseek-r1:70b,6,map_5x5_eb9bf2f286,1,1,0,2.00
deepseek-r1:70b,5,map_3x3_4581d67942,1,1,0,3.00
deepseek-r1:14b,9,map_9x9_7e16f28f8b,1,1,0,1.00
llama3.1,3,map_5x5_985e892d1d,1,1,0,1.00
llama3.1,3,map_9x9_7e16f28f8b,1,1,0,1.00
llama3.1:70b,2,map_9x9_7e16f28f8b,1,1,0,1.00
deepseek-r1:14b,9,map_5x5_985e892d1d,2,2,0,1.00
deepseek-r1:14b,2,map_5x5_985e892d1d,1,1,0,1.00
deepseek-r1:70b,10,map_5x5_145ae7f434,1,1,0,1.00
llama3.1:70b,9,map_5x5_985e892d1d,1,1,0,1.00
deepseek-r1:70b,4,map_9x9_f39c50f428,1,1,0,16.00
llama3.1:70b,10,map_5x5_985e892d1d,1,1,0,1.00
llama3.3,1,map_5x5_145ae7f434,1,1,0,1.00
llama3.3,11,map_5x5_eb9bf2f286,2,2,0,1.00
deepseek-r1:70b,4,map_3x3_4581d67942,1,1,0,4.00
llama3.3,5,map_9x9_7e16f28f8b,1,1,0,1.00
deepseek-r1,4,map_9x9_95478b4b20,2,1,1,1.00
deepseek-r1:8b,8,map_9x9_7e16f28f8b,1,1,0,2.00
llama3.3,0,map_9x9_f39c50f428,1,1,0,1.00
deepseek-r1:8b,1,map_9x9_95478b4b20,1,1,0,1.00
llama3.1:70b,11,map_5x5_eb9bf2f286,1,1,0,1.00
deepseek-r1:70b,3,map_3x3_d5cc755ee1,1,1,0,1.00
deepseek-r1:32b,8,map_9x9_7e16f28f8b,2,1,1,1.00
deepseek-r1:70b,9,map_9x9_7e16f28f8b,2,1,1,1.00
llama3.3,5,map_9x9_95478b4b20,1,1,0,1.00
deepseek-r1:14b,7,map_5x5_985e892d1d,1,1,0,2.00
llama3.1:70b,8,map_5x5_eb9bf2f286,1,1,0,1.00
llama3.1,9,map_9x9_f39c50f428,2,1,1,1.00
llama3.3,10,map_5x5_145ae7f434,1,1,0,1.00
llama3.3,6,map_9x9_f39c50f428,1,1,0,1.00
llama3.3,5,map_5x5_145ae7f434,1,1,0,1.00
deepseek-r1:32b,5,map_9x9_7e16f28f8b,1,1,0,2.00
deepseek-r1:32b,5,map_5x5_985e892d1d,1,1,0,2.00
deepseek-r1:32b,2,map_5x5_145ae7f434,1,1,0,1.00
deepseek-r1:14b,4,map_9x9_7e16f28f8b,1,1,0,2.00
llama3.3,8,map_9x9_7e16f28f8b,1,1,0,1.00
deepseek-r1:14b,6,map_5x5_eb9bf2f286,2,1,1,1.00
llama3.3,11,map_9x9_95478b4b20,1,1,0,1.00
deepseek-r1:32b,5,map_5x5_eb9bf2f286,1,1,0,1.00
deepseek-r1:70b,4,map_5x5_145ae7f434,1,1,0,3.00
deepseek-r1:8b,6,map_9x9_95478b4b20,2,1,1,3.00
deepseek-r1:8b,11,map_9x9_95478b4b20,1,1,0,1.00
llama3.3,4,map_9x9_f39c50f428,1,1,0,1.00
llama3.3,4,map_5x5_145ae7f434,1,1,0,1.00
deepseek-r1:14b,5,map_5x5_145ae7f434,1,1,0,4.00
deepseek-r1:14b,6,map_5x5_985e892d1d,1,1,0,1.00
llama3.3,9,map_9x9_95478b4b20,1,1,0,1.00
llama3.1:70b,4,map_9x9_f39c50f428,1,1,0,2.00
llama3.1,1,map_9x9_f39c50f428,1,1,0,2.00
llama3.1:70b,11,map_9x9_7e16f28f8b,1,1,0,1.00
deepseek-r1:14b,0,map_9x9_7e16f28f8b,1,1,0,1.00
llama3.1:70b,4,map_5x5_985e892d1d,1,1,0,1.00
deepseek-r1:32b,6,map_5x5_145ae7f434,1,1,0,1.00
deepseek-r1:14b,11,map_5x5_eb9bf2f286,2,1,1,1.00
deepseek-r1:32b,4,map_5x5_145ae7f434,1,1,0,2.00
deepseek-r1:8b,4,map_9x9_95478b4b20,1,1,0,2.00
llama3.3,1,map_5x5_985e892d1d,1,1,0,1.00
llama3.1:70b,2,map_9x9_95478b4b20,1,1,0,1.00
deepseek-r1:70b,10,map_5x5_985e892d1d,1,1,0,4.00
deepseek-r1:14b,11,map_9x9_95478b4b20,2,1,1,1.00
llama3.1,11,map_9x9_f39c50f428,1,1,0,1.00
llama3.1:70b,6,map_9x9_f39c50f428,1,1,0,1.00
llama3.1:70b,0,map_5x5_145ae7f434,1,1,0,1.00
llama3.1:70b,0,map_9x9_7e16f28f8b,1,1,0,2.00
deepseek-r1:70b,3,map_9x9_95478b4b20,1,1,0,1.00
